id,university, major, degree, decision, status, year, gpafin, grev, grem, grew, new_gre
194,Columbia University (FFSEAS),CS,Masters,Accepted,U,2018,3.97,169,170,5.5,TRUE
196,McGil,CS,Masters,Accepted,A,2018,3.14,156,163,5,TRUE
197,University Of Edinburgh,CS,PhD,Accepted,I,2018,4,165,166,5,TRUE
199,"University Of California, Los Angeles (UCLA)",CS,Masters,Rejected,I,2018,3.73,169,147,3.5,TRUE
201,UC Davis,CS,Masters,Accepted,I,2018,3.6,157,170,4,TRUE
204,UC Davis,CS,Masters,Rejected,I,2018,3.38,151,167,4,TRUE
206,UC Davis,CS,Masters,Rejected,I,2018,3.2,152,164,4,TRUE
210,"(University Of California, Los Angeles (UCLA)",CS,Masters,Rejected,I,2018,3.9,156,168,3.5,TRUE
213,UC Davis,CS,Masters,Accepted,U,2018,3.77,154,169,3.5,TRUE
214,University Of Minnesota - Twin Cities (UMN),CS,PhD,Rejected,I,2018,3.51,168,145,3,TRUE
216,University Of California Los Angeles (UCLA),CS,Masters,Rejected,I,2018,3.1,162,165,4.5,TRUE
217,UCLA,CS,Masters,Rejected,I,2018,3.9,155,168,4.5,TRUE
219,University Of North Carolina Chapel Hill (UNC),CS,Masters,Rejected,I,2018,3.76,159,170,4,TRUE
220,"(University Of California, Los Angeles (UCLA)",CS,Masters,Rejected,I,2018,3.57,162,167,4,TRUE
221,"(University Of California, Los Angeles (UCLA)",CS,Masters,Rejected,I,2018,8.53,165,167,4,TRUE
222,UCLA,CS,Masters,Rejected,I,2018,3.5,163,163,5,TRUE
223,UC Los Angeles(UCLA),CS,Masters,Rejected,I,2018,3.83,162,167,4.5,TRUE
224,UC Los Angeles(UCLA),CS,Masters,Rejected,I,2018,3.83,162,167,4.5,TRUE
225,Louisiana State University ( LSU ),CS,PhD,Accepted,I,2018,3.09,148,167,4,TRUE
226,University Of North Carolina Chapel Hill (UNC),CS,Masters,Rejected,I,2018,3.9,159,169,4,TRUE
228,"University Of California, Los Angeles (UCLA)",CS,Masters,Rejected,U,2018,3.54,167,154,3.5,TRUE
231,The University Of Waterloo,CS,Masters,Rejected,I,2018,3.83,162,167,4.5,TRUE
234,The University Of Waterloo,CS,Masters,Accepted,I,2018,3.47,157,170,3.5,TRUE
235,The University Of Arizona,CS,PhD,Rejected,I,2018,4,158,165,4,TRUE
237,National Defense Science And Engineering (NDSEG) Fellowship,Other,PhD,Rejected,A,2018,3.76,166,168,4.5,TRUE
238,ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,CS,Masters,Accepted,I,2018,3.79,157,167,4,TRUE
239,UCSB,CS,Masters,Rejected,A,2018,3.6,164,169,4.5,TRUE
241,The University Of California - Santa Barbara (UCSB),CS,Masters,Rejected,U,2018,3.64,140,163,2.5,TRUE
245,Florida State Univerisity (FSU),CS,PhD,Accepted,I,2018,3.27,149,161,3,TRUE
246,JHU (Johns Hopkins University),CS,PhD,Rejected,I,2018,8.5,167,158,4,TRUE
248,University Of California Santa Barbara (UCSB),CS,Masters,Rejected,I,2018,3.9,145,162,4,TRUE
254,The University Of California - Santa Barbara (UCSB),CS,Masters,Rejected,I,2018,3.52,170,154,3,TRUE
256,JHU (Johns Hopkins University),CS,PhD,Rejected,I,2018,3.3,163,170,4,TRUE
259,University Of California Santa Barbara (UCSB),CS,Masters,Rejected,I,2018,3.1,162,165,4.5,TRUE
260,University Of California Santa Barbara (UCSB),CS,Masters,Rejected,I,2018,3.25,155,170,4,TRUE
270,"Purdue University, West Lafayette",CS,Masters,Accepted,I,2018,8.25,154,167,3.5,TRUE
273,The University Of Southern California (USC),CS,Masters,Accepted,I,2018,3.5,160,163,3.5,TRUE
276,University Of Saskatchewan,CS,Masters,Accepted,I,2018,3.76,146,162,3,TRUE
277,Florida International University  (FIU),CS,PhD,Accepted,I,2018,3.76,146,162,3,TRUE
278,"University Of Houston,Main Campus",CS,PhD,Accepted,I,2018,3.76,146,162,3,TRUE
279,Florida State Univerisity,CS,PhD,Accepted,I,2018,3.76,146,162,3,TRUE
280,"Arizona State Univeristy, Tempe",CS,PhD,Accepted,I,2018,3.76,146,162,3,TRUE
281,University Of Notre Dame,CS,PhD,Rejected,I,2018,3.76,146,162,3,TRUE
282,Illinois At Chicago (UIC),CS,PhD,Accepted,I,2018,3.3,150,170,3.5,TRUE
290,DePaul University,CS,PhD,Accepted,U,2018,3.1,156,165,3.5,TRUE
